player,matches,runs,balls,fours,sixes,runs_per_match,strike_rate,boundary_runs,boundary_percentage,run_score,strike_rate_score,runs_per_match_score,boundary_score,experience_score,scouting_score,player_category,rank
V Kohli,275,9346,6911,847,317,33.99,135.23,5290,56.6,100.0,58.80076528393773,76.04026845637584,64.64877213021131,100.0,81.37,Experienced Performer,1
RG Sharma,275,7331,5496,661,324,26.66,133.39,4588,62.58,78.43997432056494,58.00069571267067,59.64205816554809,71.4791547687036,100.0,71.03,Experienced Performer,2
DA Warner,184,6567,4680,663,236,35.69,140.32,4068,61.95,70.26535416220842,61.01400121749717,79.84340044742729,70.75956596230726,66.9090909090909,69.58,Experienced Performer,3
S Dhawan,221,6769,5304,768,153,30.63,127.62,3990,58.95,72.42670661245452,55.49178189407776,68.5234899328859,67.33295259851513,80.36363636363636,67.7,Experienced Performer,4
KL Rahul,149,5828,4175,509,239,39.11,139.59,3470,59.54,62.35822811898139,60.69658231150535,87.49440715883668,68.00685322672759,54.18181818181819,66.72,Consistent Performer,5
CH Gayle,141,4997,3331,408,359,35.44,150.02,3786,75.77,53.466723732077895,65.23175928341595,79.28411633109619,86.54483152484295,51.27272727272727,64.66,Aggressive Batter,6
AB de Villiers,170,5181,3400,414,253,30.48,152.38,3174,61.26,55.435480419430775,66.25793547264979,68.18791946308724,69.97144488863508,61.81818181818181,62.78,Aggressive Batter,7
SK Raina,200,5536,4025,506,204,27.68,137.54,3248,58.67,59.2338968542692,59.80520045221324,61.92393736017897,67.01313535122787,72.72727272727273,62.04,Experienced Performer,8
JC Buttler,136,4647,3094,459,211,34.17,150.19,3102,66.75,49.72180612026536,65.30567875467432,76.44295302013423,76.24214734437464,49.45454545454545,61.59,Aggressive Batter,9
SV Samson,185,5181,3653,432,243,28.01,141.83,3186,61.49,55.435480419430775,61.67058005043917,62.662192393736014,70.23415191319246,67.27272727272727,61.1,Experienced Performer,10
MS Dhoni,241,5439,3935,375,264,22.57,138.22,3084,56.7,58.19601968756687,60.10087833724672,50.49217002237136,64.76299257567105,87.63636363636364,60.73,Experienced Performer,11
Shubman Gill,130,4598,3223,446,152,35.37,142.66,2696,58.63,49.1975176546116,62.03148099834769,79.12751677852347,66.96744717304398,47.27272727272727,59.98,Consistent Performer,12
V Suryavanshi,23,1028,447,81,96,44.7,229.98,900,87.55,10.99935801412369,100.0,100.0,100.0,8.363636363636363,59.69,Aggressive Batter,13
AM Rahane,197,5367,4269,540,141,27.24,125.72,3006,56.01,57.425636635994,54.66562309766066,60.93959731543623,63.974871501998855,71.63636363636363,59.51,Experienced Performer,14
SA Yadav,164,4581,3072,482,178,27.93,149.12,2996,65.4,49.01562165632356,64.84042090616576,62.48322147651007,74.7001713306682,59.63636363636363,59.3,Aggressive Batter,15
F du Plessis,147,4773,3506,440,174,32.47,136.14,2804,58.75,51.06997646051787,59.19645186537959,72.63982102908277,67.10451170759566,53.45454545454545,59.26,Developing Player,16
RV Uthappa,197,4954,3784,481,182,25.15,130.92,3016,60.88,53.00663385405521,56.92668927732846,56.26398210290827,69.53740719588806,71.63636363636363,58.15,Developing Player,17
KD Karthik,233,4843,3570,466,161,20.79,135.66,2830,58.43,51.81895998288037,58.987738064179496,46.51006711409396,66.7390062821245,84.72727272727273,57.33,Developing Player,18
SS Iyer,144,4233,3085,354,182,29.4,137.21,2508,59.25,45.29210357372138,59.661709713888165,65.7718120805369,67.67561393489436,52.36363636363637,55.93,Developing Player,19
RR Pant,136,3879,2634,351,181,28.52,147.27,2490,64.19,41.504386903488125,64.03600313070702,63.80313199105145,73.31810394060537,49.45454545454545,55.57,Aggressive Batter,20
SR Watson,141,3880,2801,377,190,27.52,138.52,2648,68.25,41.5150866680933,60.2313244629968,61.56599552572707,77.95545402627071,51.27272727272727,54.82,Developing Player,21
B Sai Sudharsan,57,2515,1674,258,83,44.12,150.24,1530,60.83,26.909907982024396,65.32741977563266,98.70246085011183,69.48029697315819,20.727272727272727,54.51,Aggressive Batter,22
Ishan Kishan,127,3600,2499,348,166,28.35,144.06,2388,66.33,38.51915257864327,62.64022958518133,63.42281879194631,75.76242147344374,46.18181818181818,54.02,Developing Player,23
AT Rayudu,185,4348,3391,359,173,23.5,128.22,2474,56.9,46.52257650331693,55.75267414557787,52.57270693512304,64.99143346659052,67.27272727272727,53.96,Developing Player,24
G Gambhir,151,4217,3394,492,59,27.93,124.25,2322,55.06,45.12090734003852,54.02643708148535,62.48322147651007,62.88977727013136,54.90909090909091,53.58,Developing Player,25
AD Russell,114,2655,1508,187,223,23.29,176.06,2086,78.57,28.40787502674941,76.5544829985216,52.102908277404914,89.74300399771559,41.45454545454545,52.62,Aggressive Batter,26
Q de Kock,118,3444,2546,334,143,29.19,135.27,2194,63.7,36.8499893002354,58.81815810070442,65.30201342281879,72.75842375785267,42.90909090909091,52.23,Developing Player,27
YBK Jaiswal,82,2593,1692,311,110,31.62,153.25,1904,73.43,27.744489621228336,66.63622923732498,70.73825503355704,83.8720731010851,29.818181818181817,51.89,Aggressive Batter,28
KA Pollard,168,3437,2315,221,224,20.46,148.47,2228,64.82,36.775090947999146,64.55778763370729,45.77181208053691,74.0376927470017,61.09090909090909,51.68,Aggressive Batter,29
MK Pandey,163,4021,3288,348,118,24.67,122.29,2100,52.23,43.0237534774235,53.17418905991826,55.19015659955257,59.657338663620784,59.27272727272728,51.28,Developing Player,30
Abhishek Sharma,89,2379,1383,224,144,26.73,172.02,1760,73.98,25.454739995720093,74.7978085050874,59.79865771812081,84.50028555111365,32.36363636363636,51.25,Aggressive Batter,31
H Klaasen,60,2104,1253,146,120,35.07,167.92,1304,61.98,22.512304729295955,73.01504478650317,78.45637583892618,70.79383209594518,21.818181818181817,51.09,Aggressive Batter,32
V Sehwag,104,2728,1740,334,106,26.23,156.78,1972,72.29,29.18895784292745,68.1711453169841,58.68008948545861,82.5699600228441,37.81818181818182,51.03,Aggressive Batter,33
RD Gaikwad,84,2839,2083,260,107,33.8,136.29,1682,59.25,30.37663171410229,59.26167492825463,75.61521252796419,67.67561393489436,30.545454545454547,50.39,Developing Player,34
N Pooran,100,2527,1538,169,186,25.27,164.3,1792,70.91,27.03830515728654,71.44099486911905,56.5324384787472,80.99371787549971,36.36363636363637,50.37,Aggressive Batter,35
N Rana,121,3078,2228,288,151,25.44,138.15,2058,66.86,32.93387545474,60.070440907905045,56.91275167785235,76.36778983438035,44.0,49.96,Developing Player,36
YK Pathan,153,3222,2233,263,161,21.06,144.29,2018,62.63,34.474641557885725,62.7402382815897,47.11409395973154,71.53626499143347,55.63636363636364,49.89,Developing Player,37
SE Marsh,69,2489,1866,269,78,36.07,133.39,1544,62.03,26.63171410228975,58.00069571267067,80.69351230425056,70.85094231867505,25.09090909090909,49.55,Consistent Performer,38
GJ Maxwell,134,2820,1810,238,161,21.04,155.8,1918,68.01,30.17333618660389,67.74502130620054,47.06935123042505,77.68132495716735,48.72727272727273,49.55,Aggressive Batter,38
DA Miller,143,3288,2349,235,152,22.99,139.97,1852,56.33,35.18082602182752,60.86181407078877,51.4317673378076,64.34037692747002,52.0,49.45,Developing Player,40
BB McCullum,109,2882,2176,293,130,26.44,132.44,1952,67.73,30.83672159212497,57.58761631446213,59.14988814317673,77.36150770988007,39.63636363636363,48.72,Developing Player,41
HH Pandya,150,2964,2015,228,157,19.76,147.1,1854,62.55,31.714102289749626,63.962083659448645,44.20581655480984,71.44488863506567,54.54545454545454,48.53,Aggressive Batter,42
RA Jadeja,205,3526,2685,264,122,17.2,131.32,1788,50.71,37.72736999786005,57.100617444995216,38.47874720357942,57.92118789263279,74.54545454545455,48.42,Developing Player,43
TM Head,52,1556,907,172,78,29.92,171.55,1156,74.29,16.648833725658037,74.59344290807897,66.9351230425056,84.85436893203885,18.90909090909091,48.24,Aggressive Batter,44
