player,matches,runs,balls,fours,sixes,runs_per_match,strike_rate,boundary_runs,boundary_percentage
V Kohli,275,9346,6911,847,317,33.99,135.23,5290,56.6
RG Sharma,275,7331,5496,661,324,26.66,133.39,4588,62.58
S Dhawan,221,6769,5304,768,153,30.63,127.62,3990,58.95
DA Warner,184,6567,4680,663,236,35.69,140.32,4068,61.95
KL Rahul,149,5828,4175,509,239,39.11,139.59,3470,59.54
SK Raina,200,5536,4025,506,204,27.68,137.54,3248,58.67
MS Dhoni,241,5439,3935,375,264,22.57,138.22,3084,56.7
AM Rahane,197,5367,4269,540,141,27.24,125.72,3006,56.01
AB de Villiers,170,5181,3400,414,253,30.48,152.38,3174,61.26
SV Samson,185,5181,3653,432,243,28.01,141.83,3186,61.49
CH Gayle,141,4997,3331,408,359,35.44,150.02,3786,75.77
RV Uthappa,197,4954,3784,481,182,25.15,130.92,3016,60.88
KD Karthik,233,4843,3570,466,161,20.79,135.66,2830,58.43
F du Plessis,147,4773,3506,440,174,32.47,136.14,2804,58.75
JC Buttler,136,4647,3094,459,211,34.17,150.19,3102,66.75
Shubman Gill,130,4598,3223,446,152,35.37,142.66,2696,58.63
SA Yadav,164,4581,3072,482,178,27.93,149.12,2996,65.4
AT Rayudu,185,4348,3391,359,173,23.5,128.22,2474,56.9
SS Iyer,144,4233,3085,354,182,29.4,137.21,2508,59.25
G Gambhir,151,4217,3394,492,59,27.93,124.25,2322,55.06
MK Pandey,163,4021,3288,348,118,24.67,122.29,2100,52.23
SR Watson,141,3880,2801,377,190,27.52,138.52,2648,68.25
RR Pant,136,3879,2634,351,181,28.52,147.27,2490,64.19
Ishan Kishan,127,3600,2499,348,166,28.35,144.06,2388,66.33
RA Jadeja,205,3526,2685,264,122,17.2,131.32,1788,50.71
Q de Kock,118,3444,2546,334,143,29.19,135.27,2194,63.7
KA Pollard,168,3437,2315,221,224,20.46,148.47,2228,64.82
DA Miller,143,3288,2349,235,152,22.99,139.97,1852,56.33
YK Pathan,153,3222,2233,263,161,21.06,144.29,2018,62.63
N Rana,121,3078,2228,288,151,25.44,138.15,2058,66.86
HH Pandya,150,2964,2015,228,157,19.76,147.1,1854,62.55
WP Saha,143,2934,2296,296,87,20.52,127.79,1706,58.15
BB McCullum,109,2882,2176,293,130,26.44,132.44,1952,67.73
PA Patel,136,2848,2350,365,49,20.94,121.19,1754,61.59
RD Gaikwad,84,2839,2083,260,107,33.8,136.29,1682,59.25
GJ Maxwell,134,2820,1810,238,161,21.04,155.8,1918,68.01
MA Agarwal,125,2764,2053,275,100,22.11,134.63,1700,61.51
Yuvraj Singh,126,2754,2115,218,149,21.86,130.21,1766,64.12
V Sehwag,104,2728,1740,334,106,26.23,156.78,1972,72.29
AD Russell,114,2655,1508,187,223,23.29,176.06,2086,78.57
